Project,DOI,Title,Year,Relation
Fellow,,Adapting cover crop soil coverage to soil depth to limit competition for water in a Mediterranean vineyard,2018,Top5
Fellow,,Optimizing the choice of service crops in vineyards to achieve both runoff mitigation and water provisioning for grapevine: a trait-based approach,2020,Top5
Fellow,,Gradual responses of grapevine yield components and carbon status to nitrogen supply,2019,Top5
Fellow,,Adaptation of the regional agronomic diagnosis for grapevine yield analysis,2022,Top5
Fellow,,Mitigating crop yield losses through weed diversity,2019,Top5
Fellow,,A framework to estimate the contribution of weeds to the delivery of ecosystem services in agricultural landscapes,2021,Top5
Fellow,,Taxonomic and functional characteristics of field edge weed communities along a gradient of crop management intensity,2021,Top5
Fellow,,Crop type and within-field location as sources of intraspecific variations in the phenology and the production of floral and fruit resources by weeds,2020,Top5
Fellow,,Cropping system diversification does not always beget weed diversity,2022,Top5
Fellow,,Weather and landscape drivers of the regional level of pest occurrence in arable agriculture: A multi-pest analysis at the French national scale,2022,Top5
Fellow,,Local pesticide use intensity conditions and landscape effects on biological pest control,2019,Top5
Fellow,,Issues and challenges in landscape models for agriculture: from the representation of agroecosystems to the design of management strategies,2018,Top5
Fellow,,Crop pests and predators exhibit inconsistent responses to surrounding landscape composition,2018,Top5
Fellow,,How effective is large landscape-scale planning for reducing local weed infestations? A landscape-scale modelling approach,2018,Top5
Fellow,,Effects of soil erosion on agro-ecosystem services and soil functionality: a multidisciplinary study in nineteen organically farmed European and Turkish vineyards,2018,Top5
Fellow,,Multi-community effects of organic and conventional farming practices in vineyards,2021,Top5
Fellow,,"Vineyard management and its impacts on soil biodiversity, functions, and ecosystem services",2022,Top5
Fellow,,General trends of different inter-row vegetation management affecting vine vigor and grape quality across European vineyards,2022,Top5
Fellow,,Organic viticulture leads to lower trade-offs between agroecosystem goods but does not improve overall multifunctionality,2022,Top5
Fellow,,Using plant diversity to reduce vulnerability and increase drought resilience of permanent and sown productive grasslands,2022,Top5
Fellow,,Can trees buffer the impact of climate change on pasture production and digestibility of Mediterranean dehesas?,2022,Top5
Fellow,,Research on agroforestry systems and biodiversity conservation: what can we conclude so far and what should we improve?,2022,Top5
Fellow,,Olive agroforestry can improve land productivity even under low water availability in the South Mediterranean,2021,Top5
Fellow,,Alley cropping agroforestry systems: Reservoirs for weeds or refugia for plant diversity?,2019,Top5
Fellow,10.1016/j.ecoleng.2021.106463,Plants playing at home: Advantage of native plant seeds for ski slope revegetation in the French Pyrenees.,2022,Top5
Fellow,10.1080/23818107.2020.1737222,Is the Mesopotamian region a main source of Western European segetal plants,2020,Top5
Fellow,,"Indésirables, tolérées, revendiquées : à chacun ses plantes messicoles. Perceptions des acteurs du monde agricole vis-à-vis des plantes des moissons",2019,Top5
Fellow,,"Conservation des plantes messicoles dans les parcelles cultivées : caractérisation des systèmes de cultures favorables, rôles fonctionnels, perception par la profession.",2018,Top5
Fellow,10.1016/j.nbsj.2022.100035,Structuring supply chains of native plant material of wild and local provenance in France: A contribution to ecological restoration and Nature-based solutions,2022,Top5
Fellow,,"Face au déclin des pollinisateurs sauvages, des clés pour agir localement",2022,Top5
Fellow,10.1111/oik.10219,"Flowers of ruderal species are numerous but small, short and low-rewarding",2023,Top5
Fellow,10.1016/j.agee.2023.1083692023,Forage nutritive value shows synergies with plant diversity in a wide range of semi-natural grassland habitats.,2023,Top5
Fellow,10.1016/j.actao.2021.103763,Comparison of grassland plant-pollinator networks on dairy farms in three contrasting French landscapes,2021,Top5
Fellow,10.1111/een.12913,Facial area and hairiness of pollinators visiting semi-natural grassland wild plants predict their facial pollen load,2020,Top5
Fellow,10.1016/j.agee.2020.107033,Floral trait functional diversity is related to soil characteristics and positively influences pollination function in semi-natural grasslands,2020,Top5
Fellow,10.1016/j.agee.2025.109877,Impacts of agricultural intensification on weed floral and competitive traits: A spatiotemporal study in French vineyards and annual crops,2025,Output
