"Project","DOI","Title","Year","Relation","X"
"Beyonds","10.1016/j.scitotenv.2020.136842","Assessing the emergence of pro-biodiversity practices in citizen scientists of a backyard butterfly survey",2020,"Top5",NA
"Beyonds","10.1016/j.ecolind.2019.105885","A test of six simple indices to display the phenology of butterflies using a large multi-source database",2020,"Top5",NA
"Beyonds","10.1002/vetr.3293","Farmland practices are driving bird population decline across Europe",2023,"Top5",NA
"Beyonds","10.1111/oik.08756","Biotic homogenisation in bird communities leads to large‐scale changes in species associations",2022,"Top5",NA
"Beyonds","10.1371/journal.pbio.3001195","Maximizing regional biodiversity requires a mosaic of protection levels",2021,"Top5",NA
"Beyonds","10.1111/oik.08289","Mismatches between birds’ spatial and temporal dynamics reflect their delayed response to global changes",2021,"Top5",NA
"Beyonds","10.1002/ecy.3354","InsectChange: A global database of temporal changes in insect and arachnid assemblages",2021,"Top5",NA
"Beyonds","10.1111/geb.13261","Environmental heterogeneity predicts global species richness patterns better than area",2021,"Top5",NA
"Beyonds","10.4337/9781781002551.00012","Action needed for the EU Common Agricultural Policy to address sustainability challenges",2020,"Top5",NA
"Beyonds","10.1007/978-3-030-50295-9","Biodiversity policy beyond economic growth",2020,"Top5",NA
"Beyonds","10.1126/science.aax3146","A greener path for the EU Common Agricultural Policy",2019,"Top5",NA
"Beyonds","10.1007/978-3-031-07301-4_7","Social-Ecological Transformation to Coexist with Wildfire: Reflecting on 18 Years of Participatory Wildfire Governance",2022,"Top5",NA
"Beyonds","10.4000/rga.9920","Transforming mountains through inter-and transdisciplinary research?. A workshop to trigger networking on an urgent topic for sustainability",2022,"Top5",NA
"Beyonds","10.5871/bacop26/9780856726781.001","Assessing nature-based solutions for transformative change",2021,"Top5",NA
"Beyonds","10.1007/978-3-030-50295-9","Biodiversity policy beyond economic growth",2020,"Top5",NA
"Beyonds","10.1659/mrd-journal-d-20-00036.1","Designing inter-and transdisciplinary research on mountains: What place for the unexpected?",2020,"Top5",NA
"Beyonds","10.1002/9781394173679.ch8","The place of ecological knowledge in policies for ecological neutrality: No Net Loss and Biodiversity Offsetting",2022,"Top5",NA
"Beyonds","10.1016/j.jenvman.2021.114415","Ecological equivalence assessment: the potential of genetic tools, remote sensing and ecological modelling to better apply the mitigation hierarchy",2022,"Top5",NA
"Beyonds","10.1016/j.landurbplan.2020.103871","Integrating a landscape connectivity approach to the mitigation hierarchy planning following urbanization dynamics",2020,"Top5",NA
"Beyonds","10.1016/j.ecolecon.2019.106428","Biodiversity offsets and payments for environmental services: clarifying the family ties",2020,"Top5",NA
"Beyonds","10.17011/conference/eccb2018/107418","Challenges of achieving biodiversity offsetting through agri-environmental schemes: evidence from an empirical study",2019,"Top5",NA
