"Title","Year","DOI","score","title_dist","new_title","Project","Relation"
"Landscape sequences along the urban-rural-natural gradient: A novel geospatial approach for identification and analysis",2015,"10.1016/j.landurbplan.2015.04.001",NA,NA,NA,"Spatman","Top5"
"Landscape liveability spatial assessment integrating ecosystem and urban services with their perceived importance by stakeholders",2017,"10.1016/j.ecolind.2016.08.015",NA,NA,NA,"Spatman","Top5"
"Landscape composition drives the impacts of artificial light at night on insectivorous bats",2022,"10.1016/j.envpol.2021.118394",NA,NA,NA,"Spatman","Top5"
"Influences of Environmental and Social Factors on Perceived Bio-cultural Services and Disservices",2020,"10.3389/fevo.2020.569730",NA,NA,NA,"Spatman","Top5"
"Historical ecology and ancient forests: Progress, conservation issues and scientific prospects, with some examples from the French case",2021,"10.1111/jvs.12846","64.307205",0,"Historical ecology and ancient forests: Progress, conservation issues and scientific prospects, with some examples from the French case","Spatman","Top5"
"Hierarchical filters determine community assembly of urban species pools",2016,"10.1002/ecy.1535",NA,NA,NA,"Spatman","Top5"
"Forest recovery since 1860 in a Mediterranean region: drivers and implications for land use and land cover spatial distribution",2018,"10.1007/s10980-017-0601-0","81.755424",0,"Forest recovery since 1860 in a Mediterranean region: drivers and implications for land use and land cover spatial distribution","Spatman","Top5"
"Extinction debt and colonization credit delay range shifts of eastern North American trees",2017,"10.1038/s41559-017-0182","75.89759",0,"Extinction debt and colonization credit delay range shifts of eastern North American trees","Spatman","Top5"
"Expert based Ecosystem Services capacity matrices: dealing with variability of scoring",2017,NA,NA,NA,NA,"Spatman","Top5"
"État de conservation de la biodiversité forestière métropolitaine : peut-on dire que ça va bien ?",2021,NA,NA,NA,NA,"Spatman","Top5"
"Environmental mitigation hierarchy and biodiversity offsets revisited by habitat connectivity modelling",2020,"10.1016/j.jenvman.2019.109950","61.433937",7,"Environmental mitigation hierarchy and biodiversity offsets revisited through habitat connectivity modelling","Spatman","Top5"
"Enhancing air quality forecasts by geomatic downscaling: an application to daily PM10 concentrations in France",2020,"10.1007/s00704-020-03418-7",NA,NA,NA,"Spatman","Top5"
"Ecosystem and urban services for landscape liveability: A model for quantification of stakeholders' perceived importance",2016,"10.1016/j.landusepol.2015.09.023",NA,NA,NA,"Spatman","Top5"
"Ecological research and environmental management: we need different interfaces based on different knowledge types",2018,"10.1016/j.jenvman.2018.04.025","62.956573",0,"Ecological research and environmental management: We need different interfaces based on different knowledge types","Spatman","Top5"
"Du diagnostic au renforcement du réseau des aires protégées, identifier et localiser les points-chauds insuffisamment couverts par le réseau d’aires protégées terrestres de métropole",2021,"10.22459/ggap.05","84.72924",130,"Les influences économiques et sociales s’exerçant sur les aires protégées","Spatman","Top5"
"Coupling landscape graph modeling and biological data: a review",2020,"10.1007/s10980-020-00998-7","39.014004",0,"Coupling landscape graph modeling and biological data: a review","Spatman","Top5"
"Comparison of landscape graph modelling methods for analysing pond network connectivity",2021,"10.1007/s10980-020-01164-9","62.904495",0,"Comparison of landscape graph modelling methods for analysing pond network connectivity","Spatman","Top5"
"Combining spatial modeling tools and biological data for improved multispecies assessment in restoration areas",2020,"10.1016/j.biocon.2020.108713","72.21587",0,"Combining spatial modeling tools and biological data for improved multispecies assessment in restoration areas","Spatman","Top5"
"Combining habitat suitability models and spatial graphs for more effective landscape conservation planning: an applied methodological framework and a species case study",2018,"10.1016/j.jnc.2018.08.005","83.11943",0,"Combining habitat suitability models and spatial graphs for more effective landscape conservation planning: An applied methodological framework and a species case study","Spatman","Top5"
"Climate-induced variation in the demography of 14 tree species is not sufficient to explain their distribution in eastern North America",2021,"10.1111/geb.13209","63.20103",0,"Climate‐induced variation in the demography of 14 tree species is not sufficient to explain their distribution in eastern North America","Spatman","Top5"
"Can linear transportation infrastructure verges constitute a habitat and/or a corridor for insects in temperate landscapes? A systematic review",2018,"10.1186/s13750-018-0117-3","71.09055",0,"Can linear transportation infrastructure verges constitute a habitat and/or a corridor for insects in temperate landscapes? A systematic review","Spatman","Top5"
"Beer, wine, or fruit Juice: Which is best? A case study of bait efficiency to sample saproxylic beetles (Coleoptera) in an oak woodland",2020,"10.1649/0010-065x-74.4.763","120.156105",0,"Beer, Wine, or Fruit Juice: Which is Best? A Case Study of Bait Efficiency to Sample Saproxylic Beetles (Coleoptera) in an Oak Woodland","Spatman","Top5"
"Antagonistic effect of natural habitat conversion on community adjustment to climate warming in nonbreeding waterbirds",2020,"10.1111/cobi.13453","69.95942",0,"Antagonistic effect of natural habitat conversion on community adjustment to climate warming in nonbreeding waterbirds","Spatman","Top5"
"Accounting for artificial light impact on bat activity for a biodiversity-friendly urban planning",2018,"10.1016/j.landurbplan.2018.08.030","52.360794",0,"Accounting for artificial light impact on bat activity for a biodiversity-friendly urban planning","Spatman","Top5"
"A multi-species approach for assessing the impact of land-cover changes on landscape connectivity",2017,"10.1007/s10980-017-0551-6","58.12949",0,"A multi-species approach for assessing the impact of land-cover changes on landscape connectivity","Spatman","Top5"
"A biodiversity-employment framework to protect biodiversity",2022,"10.1016/j.ecolecon.2021.107238",NA,NA,NA,"Spatman","Top5"
"WorldClim 2: new 1km spatial resolution climate surfaces for global land areas",2017,"10.1002/joc.5086","49.64621",1,"WorldClim 2: new 1‐km spatial resolution climate surfaces for global land areas","Spatman","Proposal"
"Why geodiversity matters in valuing nature's stage",2015,"10.1111/cobi.12510","53.81087",0,"Why geodiversity matters in valuing nature's stage","Spatman","Proposal"
"Using an updated time calibrated family level phylogeny of seed plants to test for non random patterns of life forms across the phylogeny",2014,"10.1111/jse.12086","92.66566",0,"Using an updated time‐calibrated family‐level phylogeny of seed plants to test for non‐random patterns of life forms across the phylogeny","Spatman","Proposal"
"Urban socioeconomic inequality and biodiversity often converge, but not always: A global meta-analysis",2020,"10.1016/j.landurbplan.2020.103799","61.160095",0,"Urban socioeconomic inequality and biodiversity often converge, but not always: A global meta-analysis","Spatman","Proposal"
"Threatened species and the spatial concentration of humans",2007,"10.1007/s10531-006-9140-8","34.12264",0,"Threatened species and the spatial concentration of humans","Spatman","Proposal"
"The haves, the havenots, and the health of everyone: the relationship between social inequality and environmental quality",2015,"10.1146/annurev-publhealth-031914-122646","50.234272",1,"The Haves, the Have-Nots, and the Health of Everyone: The Relationship Between Social Inequality and Environmental Quality","Spatman","Proposal"
"The global diversity of birds in space and time",2012,"10.1038/nature11631","28.300034",0,"The global diversity of birds in space and time","Spatman","Proposal"
"The ecological and evolutionary consequences of systemic racism in urban environments",2020,"10.1126/science.aay4497","35.2958",0,"The ecological and evolutionary consequences of systemic racism in urban environments","Spatman","Proposal"
"The DPSIR Framework, workshop on a comprehensive/detailed assessment of the vulnerability of water resources to environmental change in Africa using river basin approach",2004,NA,NA,NA,NA,"Spatman","Proposal"
"The Biological Deserts Fallacy: Cities in Their Landscapes Contribute More than We Think to Regional Biodiversity",2021,"10.1093/biosci/biaa155","71.96109",0,"The Biological Deserts Fallacy: Cities in Their Landscapes Contribute More than We Think to Regional Biodiversity","Spatman","Proposal"
"Space for nature",2018,"10.1126/science.aau1397",NA,NA,NA,"Spatman","Proposal"
"Scenarios for Global Biodiversity in the 21st Century",2010,"10.1126/science.1196624",NA,0,"Scenarios for global biodiversity in the 21st century.","Spatman","Proposal"
"Rescaling the human footprint: a tool for conservation planning at an ecoregional scale",2008,"10.1016/j.landurbplan.2008.04.005","52.020313",0,"Rescaling the Human Footprint: A tool for conservation planning at an ecoregional scale","Spatman","Proposal"
"Reevaluating Europe’s other debt with improved statistical tools",2015,"10.1007/s10531-014-0799-y","48.73279",0,"Reevaluating Europe’s other debt with improved statistical tools","Spatman","Proposal"
"PanTHERIA: a species level database of life history, ecology, and geography of extant and recently extinct mammals",2009,"10.1890/08-1494.1","57.471146",0,"PanTHERIA: a species‐level database of life history, ecology, and geography of extant and recently extinct mammals","Spatman","Proposal"
"Natural experiments in the social sciences: a design-based approach",2012,NA,NA,NA,NA,"Spatman","Proposal"
"Multiscale performance of landscape metrics as indicators of species richness of plants, insects and vertebrates",2012,"10.1016/j.ecolind.2012.04.012",NA,NA,NA,"Spatman","Proposal"
"Mechanisms explaining the impact of economic inequality on environmental deterioration",2015,"10.1016/j.ecolecon.2015.04.026","45.75027",0,"Mechanisms explaining the impact of economic inequality on environmental deterioration","Spatman","Proposal"
"Local Food, Urbanization, and Transport Related Greenhouse Gas Emissions",2017,"10.1111/jors.12299","42.76576",0,"LOCAL FOOD, URBANIZATION, AND TRANSPORT‐RELATED GREENHOUSE GAS EMISSIONS","Spatman","Proposal"
"lavaan: An R Package for Structural Equation Modeling",2012,"10.18637/jss.v048.i02","41.77546",9,"<b>lavaan</b>: An<i>R</i>Package for Structural Equation Modeling","Spatman","Proposal"
"Landscape structure, landscape metrics and biodiversity",2011,"10.12942/lrlr-2011-3",NA,NA,NA,"Spatman","Proposal"
"Increasing crop heterogeneity enhances multitrophic diversity across agricultural regions",2019,"10.1073/pnas.1906419116","26.033312",0,"Increasing crop heterogeneity enhances multitrophic diversity across agricultural regions","Spatman","Proposal"
"Growth is the problem; equality is the solution",2013,"10.3390/su5020432","29.524214",0,"Growth Is the Problem; Equality Is the Solution","Spatman","Proposal"
"Global effects of land use on local terrestrial biodiversity",2015,"10.1038/nature14324",NA,0,"Global effects of land use on local terrestrial biodiversity.","Spatman","Proposal"
"Europe’s other debt crisis caused by the long legacy of future extinctions",2013,"10.1073/pnas.1216303110","41.727757",0,"Europe’s other debt crisis caused by the long legacy of future extinctions","Spatman","Proposal"
"Environmental performance of the urban form",2016,"10.1016/j.regsciurbeco.2016.03.002","24.125244",0,"Environmental performance of the urban form","Spatman","Proposal"
"Effects of exurban development on biodiversity: patterns, mechanisms, and research needs",2005,"10.1890/05-5221","44.303032",0,"EFFECTS OF EXURBAN DEVELOPMENT ON BIODIVERSITY: PATTERNS, MECHANISMS, AND RESEARCH NEEDS","Spatman","Proposal"
"Economic inequality predicts biodiversity loss",2007,"10.1371/journal.pone.0000444",NA,0,"Economic inequality predicts biodiversity loss.","Spatman","Proposal"
"Economic geography: The integration of regions and nations",2008,NA,NA,NA,NA,"Spatman","Proposal"
"Designing optimal human-modified landscapes for forest biodiversity conservation",2020,"10.1111/ele.13535",NA,0,"Designing optimal human-modified landscapes for forest biodiversity conservation.","Spatman","Proposal"
"Are compact cities environmentally friendly?",2012,NA,NA,NA,NA,"Spatman","Proposal"
"A review of the relationships between human population density and biodiversity",2007,"10.1111/j.1469-185x.2007.00028.x","36.995914",0,"A review of the relationships between human population density and biodiversity","Spatman","Proposal"
"A Cross National Analysis of How Economic Inequality Predicts Biodiversity Loss",2009,"10.1111/j.1523-1739.2009.01207.x","48.303555",0,"A Cross‐National Analysis of How Economic Inequality Predicts Biodiversity Loss","Spatman","Proposal"
"A conceptual framework for analysing and measuring land-use intensity",2013,"10.1016/j.cosust.2013.07.010",NA,NA,NA,"Spatman","Proposal"
"What evidence exists regarding the effects of photovoltaic panels on biodiversity? A critical systematic map protocol",2022,"10.1186/s13750-022-00291-x",NA,NA,NA,"Solaire-PB","Output"
"Existing evidence on the effects of photovoltaic panels on biodiversity: a systematic map with critical appraisal of study validity",2023,"10.1186/s13750-023-00318-x",NA,NA,NA,"Solaire-PB","Output"
"What evidence exists on the impacts of chemicals arising from human activity on tropical reef-building corals? A systematic map protocol.",2020,"10.1186/s13750-020-00203-x",NA,NA,NA,"Solaire-PB","Top5"
"Outcomes of wildlife translocations in protected areas: what is the type and extent of existing evidence? A systematic map protocol",2020,"10.1186/s13750-020-00199-4",NA,NA,NA,"Solaire-PB","Top5"
"Les protocoles expérimentaux en écologie. Principaux points clefs",2019,NA,NA,NA,NA,"Solaire-PB","Top5"
"Existing evidence on the outcomes of wildlife translocations in protected areas: a systematic map",2021,"10.1186/s13750-021-00236-w",NA,NA,NA,"Solaire-PB","Top5"
"Evidence on the impacts of chemicals arising from human activity on tropical reef-building corals; a systematic map",2021,"10.1186/s13750-021-00237-9",NA,NA,NA,"Solaire-PB","Top5"
"Evidence of the impact of noise pollution on biodiversity: a systematic map",2020,"10.1186/s13750-020-00202-y",NA,NA,NA,"Solaire-PB","Top5"
"Evidence of the environmental impact of noise pollution on biodiversity: a systematic map protocol.",2019,"10.1186/s13750-019-0146-6",NA,NA,NA,"Solaire-PB","Top5"
"Conseils méthodologiques pour la réalisation d'une revue systématique à travers l'expérience de COHNECS-IT",2017,NA,NA,NA,NA,"Solaire-PB","Top5"
"Can linear transportation infrastructure verges constitute a habitat and/or a corridor for vertebrates in temperate ecosystems? A systematic review.",2020,"10.1186/s13750-020-00196-7",NA,NA,NA,"Solaire-PB","Top5"
"Can linear transportation infrastructure verges constitute a habitat and/or a corridor for insects in temperate landscapes? A systematic review",2018,"10.1186/s13750-018-0117-3",NA,NA,NA,"Solaire-PB","Top5"
"Can linear transportation infrastructure verges constitute a habitat and/or a corridor for biodiversity in temperate landscapes? A systematic review protocol",2016,"10.1186/s13750-016-0056-9",NA,NA,NA,"Solaire-PB","Top5"
"Solar photovoltaic panels significantly promote vegetation recovery by modifying the soil surface microhabitats in arid sandy ecosystem",2019,"10.1002/ldr.3408",NA,NA,NA,"Solaire-PB","Proposal"
"Simulated solar panels create altered microhabitats in desert landforms",2020,"10.1002/ecs2.3089",NA,NA,NA,"Solaire-PB","Proposal"
"Simulated Photovoltaic Solar Panels Alter the Seed Bank Survival of Two Desert Annual Plant Specie",2020,"10.3390/plants9091125",NA,NA,NA,"Solaire-PB","Proposal"
"Polarized light pollution of matte solar panels: anti-reflective photovoltaics reduce polarized light pollution but benefit only some aquatic insects.",2016,"10.1007/s10841-016-9897-3",NA,NA,NA,"Solaire-PB","Proposal"
"Partial shading by solar panels delays bloom, increases floral abundance during the late-season for pollinators in a dryland, agrivoltaic ecosystem",2021,"10.1038/s41598-021-86756-4",NA,NA,NA,"Solaire-PB","Proposal"
"Microhabitats associated with solar energy development alter demography of two desert annuals",2021,"10.1002/eap.2349",NA,NA,NA,"Solaire-PB","Proposal"
"How to disguise evolutionary traps created by solar panels",2020,"10.1007/s10841-019-00191-5",NA,NA,NA,"Solaire-PB","Proposal"
"Growth and Physiological Characteristics of Lettuce (Lactuca sativa L.) and Rocket (Eruca sativa Mill.) Plants Cultivated under Photovoltaic Panels.",2018,"10.15835/nbha46110846",NA,NA,NA,"Solaire-PB","Proposal"
"Green roof and photovoltaic panel integration: Effects on plant and arthropod diversity and electricity production",2018,"10.1016/j.jenvman.2018.08.017",NA,NA,NA,"Solaire-PB","Proposal"
"Extremophilic microbial communities on photovoltaic panel surfaces: a two-year study",2020,"10.1111/1751-7915.13620",NA,NA,NA,"Solaire-PB","Proposal"
"Evaluating the shading effect of photovoltaic panels on green roof discharge reduction and plant growth",2019,"10.1016/j.jhydrol.2018.11.019",NA,NA,NA,"Solaire-PB","Proposal"
"Ecohydrological effects of photovoltaic solar farms on soil microclimates and moisture regimes in arid Northwest China: A modeling study",2022,"10.1016/j.scitotenv.2021.149946",NA,NA,NA,"Solaire-PB","Proposal"
"Serological surveillance for wild rodent infection with SARS-CoV-2 in Europe",2022,"10.1101/2022.08.02.502439",NA,0,"Serological surveillance for wild rodent infection with SARS-CoV-2 in Europe","Rodexpo","Top5"
"Seasonal diet-based resistance to anticoagulant rodenticides in the fossorial water vole (Arvicola amphibius).",2021,"10.1016/j.envres.2021.111422",NA,NA,NA,"Rodexpo","Top5"
"Resistance to anticoagulant rodenticides in Martinique lead to inefficient rodent control in a context of endemic leptospirosis",2019,"10.1038/s41598-019-49661-5",NA,NA,NA,"Rodexpo","Top5"
"Monitoring the hepatic residues of cis- and trans-diastereoisomers of second generation anticoagulant rodenticides reveals a different bioaccumulation of diastereoisomers in the food chain of the Réunion harrier (Circus maillardi)",2021,"10.1016/j.scitotenv.2021.146287",NA,NA,NA,"Rodexpo","Top5"
"Exposure of predatory and scavenging birds to anticoagulant rodenticides in France: Exploration of data from French surveillance programs",2022,"10.1016/j.scitotenv.2021.151291",NA,NA,NA,"Rodexpo","Top5"
"Biomarkers Potency to Monitor Non-target Fauna Poisoning by Anticoagulant Rodenticides",2020,"10.3389/fvets.2020.616276",NA,NA,NA,"Rodexpo","Top5"
"Accidental chlorophacinone exposure of lactating ewes: Clinical follow-up and human health dietary implications",2020,"10.1016/j.fct.2020.111518",NA,NA,NA,"Rodexpo","Top5"
"Urbanization and anticoagulant poisons promote immune dysfunction in bobcats",2018,"10.1098/rspb.2017.2533",NA,NA,NA,"Rodexpo","Proposal"
"The vitamin K cycle. Vitam Horm",2008,"10.1016/S0083-6729(07)00003-9",NA,NA,NA,"Rodexpo","Proposal"
"The potential of VKORC1 polymorphisms in Mustelidae for evolving anticoagulant resistance through selection along the food chain",2019,"10.1371/journal.pone.0221706",NA,NA,NA,"Rodexpo","Proposal"
"The genetic basis of resistance to anticoagulants in rodents",2005,"10.1534/genetics.104.040360",NA,NA,NA,"Rodexpo","Proposal"
"Spatial and temporal analysis of second-generation anticoagulant rodenticide residues in polecats (Mustela putorius) from throughout their range in Britain, 1992-1999",2003,"10.1016/s0269-7491(02)00297-x",NA,NA,NA,"Rodexpo","Proposal"
"Roles for vitamin K beyond coagulation",2009,"10.1146/annurev-nutr-080508-141217",NA,NA,NA,"Rodexpo","Proposal"
"Poisoning by Anticoagulant Rodenticides in Humans and Animals: Causes and Consequences",2017,"10.5772/intechopen.69955",NA,NA,NA,"Rodexpo","Proposal"
"Pharmacokinetics of eight anticoagulant rodenticides in mice after single oral administration",2008,"10.1111/j.1365-2885.2008.00979.x",NA,NA,NA,"Rodexpo","Proposal"
"Novel mutations in the VKORC1 gene of wild rats and mice--a response to 50 years of selection pressure by warfarin?",2009,"10.1186/1471-2156-10-4",NA,NA,NA,"Rodexpo","Proposal"
"Mutations in VKORC1 cause warfarin resistance and multiple coagulation factor deficiency type 2",2004,"10.1038/nature02214",NA,NA,NA,"Rodexpo","Proposal"
"Missense mutation of VKORC1 leads to medial arterial calcification in rats",2018,"10.1038/s41598-018-31788-6",NA,NA,NA,"Rodexpo","Proposal"
"Management of Rodent Populations by Anticoagulant Rodenticides: Toward Third-Generation Anticoagulant Rodenticides",2017,"10.1124/dmd.116.073791",NA,NA,NA,"Rodexpo","Proposal"
"Invertebrates feeding on baits used for vertebrate pest control in New Zealand",1999,NA,NA,NA,NA,"Rodexpo","Proposal"
"Identification of the gene for vitamin K epoxide reductase",2004,"10.1038/nature02254",NA,NA,NA,"Rodexpo","Proposal"
"Exposure pathways of anticoagulant rodenticides to nontarget wildlife",2014,"10.1007/s10661-013-3422-x",NA,NA,NA,"Rodexpo","Proposal"
"Enantiomer fraction evaluation of the four stereoisomers of second-generation anticoagulant rodenticides in biological matrices with polysaccharide-based chiral selectors and liquid chromatography tandem mass spectrometry",2022,"10.1016/j.chroma.2022.463209","142.11263",0,"Enantiomer fraction evaluation of the four stereoisomers of second-generation anticoagulant rodenticides in biological matrices with polysaccharide-based chiral selectors and liquid chromatography tandem mass spectrometry","Rodexpo","Proposal"
"Distribution of non-synonymous Vkorc1 mutations in roof rats (Rattus rattus) in France and in Spain - consequences for management",2022,"10.1016/j.pestbp.2022.105052",NA,NA,NA,"Rodexpo","Proposal"
"Core-shell LC-MS/MS method for quantification of second generation anticoagulant rodenticides diastereoisomers in rat liver in relationship with exposure of wild rats",2017,"10.1016/j.jchromb.2016.12.028",NA,NA,NA,"Rodexpo","Proposal"
"Biochemical characterization of spontaneous mutants of rat VKORC1 involved in the resistance to antivitamin K anticoagulants",2011,"10.1016/j.abb.2011.08.010",NA,NA,NA,"Rodexpo","Proposal"
"Adaptative evolution of the Vkorc1 gene in Mus musculus domesticus is influenced by the selective pressure of anticoagulant rodenticides",2017,"10.1002/ece3.2829",NA,NA,NA,"Rodexpo","Proposal"
"Accumulation of anticoagulant rodenticides in a non-target insectivore, the European hedgehog (Erinaceus europaeus)",2010,"10.1016/j.envpol.2009.07.017",NA,NA,NA,"Rodexpo","Proposal"
"The whereabouts of flower visitors: contrasting land-use preferences revealed by a country-wide survey based on citizen science",2012,"10.1371/journal.pone.0045822",NA,NA,NA,"Pppirec","Top5"
"New indices for rapid assessment of pollination services based on crop yield data: France as a case study",2019,"10.1016/j.ecolind.2019.01.022","69.42931",0,"New indices for rapid assessment of pollination services based on crop yield data: France as a case study","Pppirec","Top5"
"Large-scale trade-off between agricultural intensification and crop pollination services",2014,"10.1890/130054",NA,NA,NA,"Pppirec","Top5"
"Landscape floral resources provided by rapeseed correlate with next-year reproduction of cavity-nesting pollinators in a national participatory monitoring program",2022,"10.1007/s10980-021-01353-0","102.02877",0,"Landscape floral resources provided by rapeseed correlate with next-year reproduction of cavity-nesting pollinators in a national participatory monitoring program","Pppirec","Top5"
"Identifying pesticide mixtures at country-wide scale",2024,"10.24072/pcjournal.472",NA,NA,NA,"Pppirec","Top5"
"European plants lagging behind climate change pay a climatic debt in the North, but are favored in the South",2021,"10.1111/ele.13730","58.795273",1,"European plants lagging behind climate change pay a climatic debt in the North, but are favoured in the South","Pppirec","Top5"
